10-29 09:06 INFO     Tests.py:20  : [CP6] Executing tests for checkpoint 6.
10-29 09:06 INFO     DetectHijacks.py:76  : Building ASN to Org dictionary
10-29 09:06 INFO     DetectHijacks.py:84  : ASN to Org dictionary built. 106197 mappings found
10-29 09:06 INFO     ParseUpdates.py:29  : Time taken to parse all records: 7 second(s)
10-29 09:06 INFO     ParseUpdates.py:30  : Routes announced: 74851 | Routes withdrawn: 8393
10-29 09:06 INFO     Tests.py:51  : [CP2] No more updates to process in file: ./data/updates.20080219.0015.bz2
10-29 09:06 INFO     RoutingTable.py:150 : Earliest update seen: 1203380111, 	 Latest update seen: 1203381004
Total updates received: 83244, 	 Total number of path changes observed: 2448
Total number of routing table entries currently in table: 6217
Reachable addresses of the IPv4 space from current table: 52632071
10-29 09:06 INFO     RoutingTable.py:150 : Earliest update seen: 1203380111, 	 Latest update seen: 1203381004
Total updates received: 83244, 	 Total number of path changes observed: 2448
Total number of routing table entries currently in table: 6217
Reachable addresses of the IPv4 space from current table: 52632071
10-29 09:07 INFO     RoutingTable.py:136 : Time taken for compression: 55 seconds. Space savings: 38.00%
10-29 09:07 INFO     RoutingTable.py:150 : Earliest update seen: 1203380111, 	 Latest update seen: 1203381004
Total updates received: 83244, 	 Total number of path changes observed: 2448
Total number of routing table entries currently in table: 3803
Reachable addresses of the IPv4 space from current table: 52632071
10-29 09:07 INFO     DetectHijacks.py:45  : [@t=2008-02-24 | 12:48:37] Suspicious announcement for destination: 208.65.153.0/24. Expected destination AS: 36561 (YOUTUBE), but observed AS: 17557 (PKTELECOM-AS-PK) instead
10-29 09:07 INFO     DetectHijacks.py:45  : [@t=2008-02-24 | 12:48:43] Suspicious announcement for destination: 208.65.153.0/24. Expected destination AS: 36561 (YOUTUBE), but observed AS: 17557 (PKTELECOM-AS-PK) instead
10-29 09:07 INFO     DetectHijacks.py:45  : [@t=2008-02-24 | 12:48:43] Suspicious announcement for destination: 208.65.153.0/24. Expected destination AS: 36561 (YOUTUBE), but observed AS: 17557 (PKTELECOM-AS-PK) instead
10-29 09:07 INFO     DetectHijacks.py:45  : [@t=2008-02-24 | 12:48:45] Suspicious announcement for destination: 208.65.153.0/24. Expected destination AS: 36561 (YOUTUBE), but observed AS: 17557 (PKTELECOM-AS-PK) instead
10-29 09:07 INFO     DetectHijacks.py:45  : [@t=2008-02-24 | 12:48:46] Suspicious announcement for destination: 208.65.153.0/24. Expected destination AS: 36561 (YOUTUBE), but observed AS: 17557 (PKTELECOM-AS-PK) instead
10-29 09:07 INFO     DetectHijacks.py:45  : [@t=2008-02-24 | 12:48:48] Suspicious announcement for destination: 208.65.153.0/24. Expected destination AS: 36561 (YOUTUBE), but observed AS: 17557 (PKTELECOM-AS-PK) instead
10-29 09:07 INFO     DetectHijacks.py:45  : [@t=2008-02-24 | 12:48:50] Suspicious announcement for destination: 208.65.153.0/24. Expected destination AS: 36561 (YOUTUBE), but observed AS: 17557 (PKTELECOM-AS-PK) instead
10-29 09:07 INFO     DetectHijacks.py:45  : [@t=2008-02-24 | 12:48:52] Suspicious announcement for destination: 208.65.153.0/24. Expected destination AS: 36561 (YOUTUBE), but observed AS: 17557 (PKTELECOM-AS-PK) instead
10-29 09:07 INFO     DetectHijacks.py:45  : [@t=2008-02-24 | 12:48:54] Suspicious announcement for destination: 208.65.153.0/24. Expected destination AS: 36561 (YOUTUBE), but observed AS: 17557 (PKTELECOM-AS-PK) instead
10-29 09:07 INFO     DetectHijacks.py:45  : [@t=2008-02-24 | 12:48:56] Suspicious announcement for destination: 208.65.153.0/24. Expected destination AS: 36561 (YOUTUBE), but observed AS: 17557 (PKTELECOM-AS-PK) instead
10-29 09:07 INFO     DetectHijacks.py:45  : [@t=2008-02-24 | 12:49:21] Suspicious announcement for destination: 208.65.153.0/24. Expected destination AS: 36561 (YOUTUBE), but observed AS: 17557 (PKTELECOM-AS-PK) instead
10-29 09:07 INFO     DetectHijacks.py:57  : Updating routing table from file: ./data/updates.20080224.2009.bz2 (3 of 6)
10-29 09:07 INFO     ParseUpdates.py:29  : Time taken to parse all records: 6 second(s)
10-29 09:07 INFO     ParseUpdates.py:30  : Routes announced: 52283 | Routes withdrawn: 6208
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:18:43] Announcement for destination: 208.65.153.128/25 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:18:43] Announcement for destination: 208.65.153.0/25 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:18:55] Announcement for destination: 208.65.153.128/25 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:18:55] Announcement for destination: 208.65.153.0/25 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:19:06] Announcement for destination: 208.65.153.128/25 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:19:06] Announcement for destination: 208.65.153.0/25 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:19:21] Announcement for destination: 208.65.153.0/25 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:19:21] Announcement for destination: 208.65.153.128/25 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:19:21] Announcement for destination: 208.65.153.128/25 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:19:21] Announcement for destination: 208.65.153.0/25 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:57  : Updating routing table from file: ./data/updates.20080224.2026.bz2 (4 of 6)
10-29 09:07 INFO     ParseUpdates.py:29  : Time taken to parse all records: 7 second(s)
10-29 09:07 INFO     ParseUpdates.py:30  : Routes announced: 50489 | Routes withdrawn: 7633
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:28:18] Announcement for destination: 208.65.153.0/24 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:28:18] Announcement for destination: 208.65.153.0/24 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:28:18] Announcement for destination: 208.65.153.0/24 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:28:23] Announcement for destination: 208.65.153.0/24 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:28:36] Announcement for destination: 208.65.153.0/24 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:28:39] Announcement for destination: 208.65.153.0/24 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:28:42] Announcement for destination: 208.65.153.0/24 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:28:47] Announcement for destination: 208.65.153.0/24 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:29:49] Announcement for destination: 208.65.153.0/24 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:29:55] Announcement for destination: 208.65.153.0/24 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:30:19] Announcement for destination: 208.65.153.0/24 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:30:20] Announcement for destination: 208.65.153.0/24 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:30:21] Announcement for destination: 208.65.153.128/25 (AS: 36561, YOUTUBE)
10-29 09:07 INFO     DetectHijacks.py:37  : [@t=2008-02-24 | 14:30:21] Announcement for destination: 208.65.153.0/24 (AS: 36561, YOUTUBE)
